1	1
2	4
3	2
4	0
5	1
6	0
7	4
8	0
9	4
10	0
11	1
12	2
13	2
14	3
15	3
16	3
17	2
18	1
19	2
20	3
21	1
22	0
23	3
24	2
25	0
26	0
27	1
28	0
29	1
30	2
31	1
32	2
33	3
34	4
35	2
37	1
38	2
39	3
40	1
41	1
42	3
43	4
44	0
45	2
46	2
47	3
48	0
49	4
50	3
51	4
52	4
53	0
54	1
55	2
56	4
57	3
58	2
59	2
60	4
61	0
62	3
63	2
64	0
65	0
66	3
67	1
68	2
69	3
70	4
71	1
72	4
73	3
74	1
75	3
76	3
77	4
78	2
79	0
80	4
81	0
82	2
83	3
84	4
85	3
86	1
87	0
88	3
89	0
90	0
91	2
92	2
93	3
94	2
95	1
96	0
97	0
98	1
99	2
100	2
101	2
102	3
103	1
104	0
105	0
106	4
107	2
108	4
109	2
110	3
111	2
112	4
113	2
114	2
115	1
116	2
117	2
118	2
119	2
120	3
121	1
122	3
123	0
124	2
125	0
126	2
127	2
128	4
129	4
130	4
131	2
132	0
133	1
134	0
135	1
136	0
137	2
138	2
139	3
140	2
141	3
142	0
143	0
144	0
145	2
146	3
148	0
149	0
150	1
151	2
152	2
153	0
154	0
155	2
156	3
157	2
158	1
159	3
160	0
161	0
162	2
163	0
164	1
165	1
166	2
167	0
168	4
169	3
170	3
171	3
172	2
173	0
174	1
175	1
176	2
177	3
178	4
179	4
180	1
181	3
182	1
183	3
184	2
185	0
186	4
187	3
188	2
189	3
190	2
191	0
192	1
193	3
194	2
195	2
196	3
197	1
198	3
199	1
200	4
201	1
202	4
203	3
204	2
205	1
206	1
207	3
208	4
209	0
210	1
211	2
212	2
213	1
214	0
215	3
216	2
218	0
219	2
220	1
221	0
223	1
224	4
225	0
226	2
227	3
228	1
229	0
230	0
231	4
232	2
233	2
234	0
235	2
236	2
237	3
238	2
239	3
240	4
241	1
242	0
243	0
244	2
245	0
246	2
247	1
248	1
249	1
250	0
251	4
252	0
254	3
255	2
256	1
257	0
258	2
259	4
260	0
261	0
262	1
263	0
264	1
265	0
266	1
267	2
268	1
269	3
270	2
271	2
272	3
273	0
274	0
275	1
276	4
277	4
278	0
279	4
280	3
282	0
283	2
284	2
285	1
286	4
287	0
288	0
290	0
291	4
292	0
293	4
294	2
295	3
296	2
297	0
298	2
300	1
301	4
302	2
303	4
304	3
306	2
307	0
308	2
309	3
310	1
311	0
312	4
313	2
314	3
315	0
316	3
317	4
318	3
319	1
321	3
322	4
323	4
324	0
325	1
326	2
327	1
328	0
329	1
330	0
331	3
332	4
333	0
334	0
335	3
336	2
337	0
338	2
339	0
340	2
341	2
342	0
343	4
344	1
345	0
346	1
347	0
348	3
349	3
350	1
351	3
352	0
353	0
354	1
355	2
356	0
357	0
358	1
359	1
360	2
361	3
362	3
363	0
364	1
365	0
366	3
368	0
369	3
370	2
371	3
372	4
374	2
375	2
376	2
377	1
378	0
379	0
380	0
381	2
382	2
383	1
384	0
385	2
386	2
387	2
388	2
389	0
390	0
391	1
392	1
393	3
394	2
395	0
396	0
397	2
398	3
399	3
400	4
401	3
402	4
403	2
404	3
405	4
406	2
408	0
409	2
410	1
411	0
412	2
413	2
414	3
415	0
416	0
417	0
418	4
419	2
420	1
421	0
422	3
423	0
424	1
425	1
426	1
427	2
428	1
429	1
430	4
431	3
432	0
433	2
434	4
435	3
436	1
437	3
438	0
439	3
440	3
441	4
442	0
443	0
444	0
445	0
446	1
447	2
448	1
449	1
450	3
451	2
452	3
453	0
454	1
455	3
456	0
457	4
458	2
459	1
460	1
461	1
462	2
463	2
464	1
465	0
466	1
467	2
468	2
469	2
470	1
471	2
472	2
474	1
475	1
476	1
477	3
478	2
479	3
480	1
481	2
482	3
483	4
484	1
485	4
486	1
487	0
488	0
489	3
490	2
491	3
492	1
493	2
494	2
496	4
497	3
498	2
499	4
500	3
501	3
502	2
503	1
504	2
505	3
506	3
508	1
509	1
510	1
511	3
512	0
513	1
514	3
515	0
517	4
