251	4	2
252	0	0
254	3	2
255	2	1
256	1	1
257	0	0
258	2	2
259	4	3
260	1	0
261	0	0
262	1	1
263	0	0
264	1	1
265	0	0
266	1	1
267	2	2
268	1	1
269	3	1
270	2	1
271	2	1
272	3	1
273	0	0
274	0	0
275	1	1
276	4	4
277	4	4
278	0	0
279	4	2
280	3	3
282	0	0
283	2	3
284	3	2
285	1	1
286	4	4
287	0	0
288	0	0
290	0	0
291	4	4
292	0	0
293	4	3
294	2	1
295	3	3
296	2	1
297	0	0
298	2	1
300	1	1
301	4	1
302	3	2
303	4	4
304	3	3
306	3	2
307	0	0
308	2	1
309	3	3
310	1	1
311	0	0
312	4	3
313	2	1
314	3	3
315	0	0
316	3	1
317	4	1
318	3	1
319	1	1
321	3	2
322	4	2
323	4	3
324	0	0
325	1	1
326	2	1
327	1	1
328	0	0
329	1	1
330	1	0
331	3	1
332	4	4
333	0	0
334	0	0
335	3	3
336	2	2
337	0	0
338	2	1
339	0	0
340	2	1
341	1	2
342	0	0
343	4	2
344	1	2
345	0	0
346	1	2
347	0	0
348	3	3
349	3	4
350	1	1
351	3	2
352	0	0
353	0	0
354	1	1
355	2	2
356	1	0
357	0	0
358	1	1
359	1	1
360	2	2
361	3	3
362	3	2
363	0	0
364	1	1
365	0	0
366	3	3
368	0	0
369	3	2
370	2	2
371	3	2
372	4	4
374	3	2
375	3	2
376	2	1
377	1	1
378	0	0
379	0	0
380	0	0
381	3	2
382	1	2
383	1	1
384	0	0
385	2	1
386	2	2
387	2	2
388	3	2
389	0	0
390	0	0
391	1	1
392	1	1
393	3	2
394	2	2
395	0	0
396	0	0
397	2	0
398	3	1
399	3	2
400	4	3
401	4	3
402	4	1
403	2	1
404	3	3
405	4	4
406	4	2
408	0	1
409	2	2
410	1	1
411	0	0
412	2	2
413	2	1
414	3	2
415	0	1
416	0	0
417	0	0
418	4	2
419	2	1
420	1	1
421	0	0
422	3	3
423	0	1
424	1	1
425	0	1
426	2	1
427	3	2
428	1	1
429	1	1
430	4	2
431	3	3
432	0	0
433	2	2
434	4	1
435	3	2
436	1	1
437	3	3
438	0	0
439	3	1
440	3	3
441	4	3
442	0	0
443	0	0
444	0	1
445	0	0
446	1	0
447	2	1
448	1	1
449	3	1
450	3	2
451	2	1
452	3	3
453	0	0
454	1	1
455	3	2
456	0	0
457	4	4
458	1	2
459	1	1
460	1	1
461	1	2
462	2	2
463	3	2
464	1	1
465	0	0
466	1	1
467	2	2
468	2	1
469	2	1
470	1	1
471	3	2
472	2	2
474	1	1
475	1	0
476	1	1
477	3	2
478	2	2
479	3	2
480	1	1
481	3	2
482	3	3
483	4	3
484	1	1
485	4	3
486	1	1
487	0	0
488	0	0
489	3	3
490	2	1
491	3	2
492	1	1
493	1	2
494	2	1
496	4	3
497	3	3
498	2	2
499	4	4
500	3	3
505	3	1
506	3	1
508	1	1
509	1	1
510	1	1
511	3	3
512	0	0
513	1	1
514	3	3
515	0	0
517	4	4
